Date,Cash,Holdings,Equity,OpenPositions
2021-04-23,100000.0,0.0,100000.0,0
2021-04-30,100000.0,0.0,100000.0,0
2021-05-07,100000.0,0.0,100000.0,0
2021-05-14,100000.0,0.0,100000.0,0
2021-05-21,100000.0,0.0,100000.0,0
2021-05-28,100000.0,0.0,100000.0,0
2021-06-04,100000.0,0.0,100000.0,0
2021-06-11,100000.0,0.0,100000.0,0
2021-06-18,100000.0,0.0,100000.0,0
2021-06-25,100000.0,0.0,100000.0,0
2021-07-02,100000.0,0.0,100000.0,0
2021-07-09,100000.0,0.0,100000.0,0
2021-07-16,100000.0,0.0,100000.0,0
2021-07-23,100000.0,0.0,100000.0,0
2021-07-30,100000.0,0.0,100000.0,0
2021-08-06,100000.0,0.0,100000.0,0
2021-08-13,100000.0,0.0,100000.0,0
2021-08-20,100000.0,0.0,100000.0,0
2021-08-27,100000.0,0.0,100000.0,0
2021-09-03,100000.0,0.0,100000.0,0
2021-09-10,82319.8896560669,17680.110343933105,100000.0,2
2021-09-17,51112.26662445068,46452.053159713745,97564.31978416443,5
2021-09-24,47578.096735954285,49250.97279167175,96829.06952762604,5
2021-10-01,96975.53394031525,0.0,96975.53394031525,0
2021-10-08,63817.18306881189,33158.35087150335,96975.53394031525,2
2021-10-15,14811.57388073206,83320.57934176922,98132.15322250128,6
2021-10-22,16481.594627082348,81681.16075325012,98162.75538033247,8
2021-10-29,17550.007674872875,78843.80744862556,96393.81512349844,8
2021-11-05,25763.185615241528,71262.9052426815,97026.09085792303,8
2021-11-12,25763.185615241528,73310.52109241486,99073.70670765638,8
2021-11-19,40948.850676476955,55713.95797729492,96662.80865377188,7
2021-11-26,56708.09052938223,37855.93405151367,94564.0245808959,4
2021-12-03,49856.39031881094,44032.637535095215,93889.02785390615,5
2021-12-10,49856.39031881094,45472.82776641846,95329.2180852294,5
2021-12-17,53056.24051564932,41656.11117172241,94712.35168737173,4
2021-12-24,44747.28067678213,50717.65650558472,95464.93718236685,5
2021-12-31,31548.940566003323,64279.33150100708,95828.2720670104,7
2022-01-07,30674.229195535183,63177.17048072815,93851.39967626333,7
2022-01-14,40208.02183240652,53754.16651248932,93962.18834489584,7
2022-01-21,88828.35788625479,0.0,88828.35788625479,0
2022-01-28,88828.35788625479,0.0,88828.35788625479,0
2022-02-04,88828.35788625479,0.0,88828.35788625479,0
2022-02-11,88828.35788625479,0.0,88828.35788625479,0
2022-02-18,88828.35788625479,0.0,88828.35788625479,0
2022-02-25,88828.35788625479,0.0,88828.35788625479,0
2022-03-04,88828.35788625479,0.0,88828.35788625479,0
2022-03-11,88828.35788625479,0.0,88828.35788625479,0
2022-03-18,88828.35788625479,0.0,88828.35788625479,0
2022-03-25,57852.824982106686,30975.5329041481,88828.35788625479,4
2022-04-01,31490.485644757748,57557.232986450195,89047.71863120794,7
2022-04-08,90623.83667653799,0.0,90623.83667653799,0
2022-04-15,90623.83667653799,0.0,90623.83667653799,0
2022-04-22,90623.83667653799,0.0,90623.83667653799,0
2022-04-29,90623.83667653799,0.0,90623.83667653799,0
2022-05-06,90623.83667653799,0.0,90623.83667653799,0
2022-05-13,90623.83667653799,0.0,90623.83667653799,0
2022-05-20,90623.83667653799,0.0,90623.83667653799,0
2022-05-27,90623.83667653799,0.0,90623.83667653799,0
2022-06-03,90623.83667653799,0.0,90623.83667653799,0
2022-06-10,90623.83667653799,0.0,90623.83667653799,0
2022-06-17,90623.83667653799,0.0,90623.83667653799,0
2022-06-24,90623.83667653799,0.0,90623.83667653799,0
2022-07-01,90623.83667653799,0.0,90623.83667653799,0
2022-07-08,90623.83667653799,0.0,90623.83667653799,0
2022-07-15,90623.83667653799,0.0,90623.83667653799,0
2022-07-22,90623.83667653799,0.0,90623.83667653799,0
2022-07-29,65957.9966802001,24665.83999633789,90623.83667653799,2
2022-08-05,59353.19638723135,31749.860481262207,91103.05686849356,3
2022-08-12,32653.67283910513,58197.3028755188,90850.97571462393,6
2022-08-19,28918.67283910513,62772.6511592865,91691.32399839163,7
2022-08-26,40835.63334172964,51033.144302368164,91868.7776440978,6
2022-09-02,89517.24639600515,0.0,89517.24639600515,0
2022-09-09,70476.4268464446,19040.819549560547,89517.24639600515,2
2022-09-16,88375.42731946707,0.0,88375.42731946707,0
2022-09-23,88375.42731946707,0.0,88375.42731946707,0
2022-09-30,88375.42731946707,0.0,88375.42731946707,0
2022-10-07,88375.42731946707,0.0,88375.42731946707,0
2022-10-14,88375.42731946707,0.0,88375.42731946707,0
2022-10-21,88375.42731946707,0.0,88375.42731946707,0
2022-10-28,62517.70705884695,25857.720260620117,88375.42731946707,2
2022-11-04,88279.76691907644,0.0,88279.76691907644,0
2022-11-11,31611.659218251705,56668.10770082474,88279.76691907644,8
2022-11-18,31328.457989692688,54838.63543123007,86167.09342092276,8
2022-11-25,31355.550583839417,55194.7564201355,86550.30700397491,8
2022-12-02,31355.550583839417,55287.9619295001,86643.51251333952,8
2022-12-09,31355.550583839417,54727.18513554335,86082.73571938276,8
2022-12-16,84403.8508452177,0.0,84403.8508452177,0
2022-12-23,84403.8508452177,0.0,84403.8508452177,0
2022-12-30,84403.8508452177,0.0,84403.8508452177,0
2023-01-06,28779.618359923363,55624.23248529434,84403.8508452177,8
2023-01-13,28779.618359923363,59066.08260202408,87845.70096194744,8
2023-01-20,28779.618359923363,58242.391451358795,87022.00981128216,8
2023-01-27,28779.618359923363,57797.609723091125,86577.22808301449,8
2023-02-03,36184.02860200405,48235.46647834778,84419.49508035183,8
2023-02-10,31866.92056596279,51719.54715490341,83586.4677208662,8
2023-02-17,29328.000408530235,56206.413863658905,85534.41427218914,8
2023-02-24,26595.000408530235,57267.875725746155,83862.87613427639,8
2023-03-03,26595.000408530235,60576.22350549698,87171.22391402721,8
2023-03-10,88118.11429488659,0.0,88118.11429488659,0
2023-03-17,88118.11429488659,0.0,88118.11429488659,0
2023-03-24,88118.11429488659,0.0,88118.11429488659,0
2023-03-31,69526.01419484615,18592.100100040436,88118.11429488659,2
2023-04-07,20899.114394783974,67040.62008929253,87939.7344840765,8
2023-04-14,20899.114394783974,67914.14027237892,88813.2546671629,8
2023-04-21,30518.614394783974,57541.71080040932,88060.32519519329,7
2023-04-28,37505.51422846317,48844.87163376808,86350.38586223125,6
2023-05-05,46744.46456491947,39607.31034731865,86351.77491223812,5
2023-05-12,38479.15665638447,46298.88985657692,84778.04651296139,6
2023-05-19,29586.300456166267,57194.93642401695,86781.23688018322,8
