Date,Open,High,Low,Close,Adj Close,Volume,SMA30,SMA30_Slope,EMA10,ATR,HH20,LL10,ROC12,TRIX,TRIX_SIGNAL,Symbol
2021-04-23,138047.0,140444.0,136223.0,139906.0,139752.015625,632140,,,139906.0,,,,,,,CPI.JO
2021-04-30,139910.0,152450.0,137851.0,148640.0,148476.40625,1764793,,,141846.88888888888,,,,,0.022731954476151728,0.022731954476151728,CPI.JO
2021-05-07,148499.0,156000.0,147035.0,155396.0,155241.5625,1632694,,,144857.8024691358,,,,,0.07527090164889394,0.034407276070094445,CPI.JO
2021-05-14,153534.0,159705.0,153613.0,158000.0,157843.015625,1927356,,,147778.29080932785,,,,,0.14892054993533854,0.05985467026237091,CPI.JO
2021-05-21,157683.0,166900.0,157376.0,163764.0,163601.28125,1789893,,,151330.67062947722,,,,,0.24485488134948774,0.1009658282817302,CPI.JO
2021-05-28,165000.0,168979.0,161530.0,165577.0,165412.453125,2612819,,,154496.5216007045,,,,,0.3515049814432514,0.15664119565095713,CPI.JO
2021-06-04,164001.0,171000.0,164347.0,165870.0,165705.171875,994653,,,157023.9612449924,,,,,0.45665504918164235,0.22331094087999828,CPI.JO
2021-06-11,164167.0,173087.0,164737.0,168127.0,167959.953125,1369779,,,159491.30319054963,,,,,0.5575757832011252,0.29759201695135984,CPI.JO
2021-06-18,170999.0,170797.0,160126.0,161099.0,160938.9375,2105433,,,159848.56914820528,,,136223.0,,0.6286600621017602,0.3711626936514488,CPI.JO
2021-06-25,158510.0,167940.0,158701.0,166821.0,166655.203125,875043,,,161397.9982263819,8576.3,,137851.0,,0.6889934647346108,0.4417917538921514,CPI.JO
2021-07-02,166820.0,171000.0,163161.0,167000.0,166834.03125,826711,,,162642.88750940814,8938.1,,147035.0,,0.7363058320504878,0.5072393268162262,CPI.JO
2021-07-09,167000.0,167723.0,161429.0,163008.0,162846.03125,1136461,,,162724.02361842856,8107.6,,153613.0,,0.7595326521082413,0.5633045102144517,CPI.JO
2021-07-16,162000.0,166850.0,154800.0,156200.0,156044.78125,1668414,,,161274.2405921111,8416.1,,157376.0,0.1164639114834245,0.7468814115888733,0.6040993771865454,CPI.JO
2021-07-23,155300.0,162411.0,152000.0,159897.0,159738.109375,1055525,,,160968.18712719754,8848.0,,154800.0,0.07573331539289563,0.7200863149041226,0.6298742522348959,CPI.JO
