Date,Open,High,Low,Close,Adj Close,Volume,SMA30,SMA30_Slope,EMA10,ATR,HH20,LL10,ROC12,TRIX,TRIX_SIGNAL,Symbol
2021-11-19,28.0,28.25,21.459999084472656,24.799999237060547,24.799999237060547,7947600,,,24.799999237060547,,,,,,,IREN
2021-11-26,25.0,25.209999084472656,18.829999923706055,18.989999771118164,18.989999771118164,2257300,,,23.508888244628906,,,,,-0.08530693826889202,-0.08530693826889202,IREN
2021-12-03,19.200000762939453,19.916000366210938,15.0600004196167,15.430000305175781,15.430000305175781,1913500,,,21.713579813639324,,,,,-0.2690485843415358,-0.12613841517392396,IREN
2021-12-10,15.199999809265137,16.8700008392334,13.119999885559082,14.399999618530273,14.399999618530273,2047800,,,20.08833977028176,,,,,-0.5161045497683037,-0.2127975561948972,IREN
2021-12-17,14.520000457763672,17.700000762939453,12.5,17.700000762939453,17.700000762939453,2822000,,,19.557597768650137,,,,,-0.7377020453688043,-0.3294429982335432,IREN
2021-12-24,16.0,18.5,15.5,17.15999984741211,17.15999984741211,1251200,,,19.02479823059724,,,,,-0.9375198913122551,-0.4645711966954792,IREN
2021-12-31,17.200000762939453,17.510000228881836,15.550000190734863,16.170000076293945,16.170000076293945,968400,,,18.390398640752064,,,,,-1.1255021064409454,-0.6114447321944717,IREN
2022-01-07,16.25,16.510000228881836,11.725000381469727,11.989999771118164,11.989999771118164,850800,,,16.96808778083342,,,,,-1.3569966372719677,-0.7771229333228041,IREN
2022-01-14,11.979999542236328,12.947999954223633,11.039999961853027,12.34000015258789,12.34000015258789,858800,,,15.939623863445526,,,11.725000381469727,,-1.595866155678649,-0.959065871624103,IREN
2022-01-21,12.550000190734863,12.937000274658203,9.180000305175781,9.579999923706055,9.579999923706055,704100,,,14.526374099058977,4.238600158691407,,11.039999961853027,,-1.8677541734525627,-1.1609966053637606,IREN
2022-01-28,9.279999732971191,11.607000350952148,8.550999641418457,11.0,11.0,1103900,,,13.742735410379204,3.865200138092041,,9.180000305175781,,-2.122103790338725,-1.3745759798026416,IREN
2022-02-04,11.550000190734863,14.3100004196167,11.520000457763672,13.149999618530273,13.149999618530273,742900,,,13.611016345523886,3.5582002639770507,,8.550999641418457,,-2.3146499288360323,-1.5834813018100617,IREN
2022-02-11,13.789999961853027,15.604999542236328,13.5,14.779999732971191,14.779999732971191,694100,,,13.870790431623288,3.3181002616882322,,8.550999641418457,-0.40403225049764113,-2.4262934492718657,-1.7707728901349071,IREN
2022-02-18,15.149999618530273,15.239999771118164,13.449999809265137,13.539999961853027,13.539999961853027,590400,,,13.797281438341008,3.1221001625061033,,8.550999641418457,-0.2869931477068276,-2.495455995833995,-1.9318135802902598,IREN
2022-02-25,13.380000114440918,14.89799976348877,12.579999923706055,14.470000267028809,14.470000267028809,459200,,,13.946774511382742,2.8339000701904298,,8.550999641418457,-0.06221646268049352,-2.5114495367986933,-2.060621570625467,IREN
2022-03-04,14.699999809265137,15.649999618530273,13.670000076293945,14.420000076293945,14.420000076293945,483100,,,14.051935748029676,2.7319000244140623,28.25,8.550999641418457,0.001388920714826547,-2.486314519798616,-2.1552200037750557,IREN
2022-03-11,14.210000038146973,17.969999313354492,13.560999870300293,17.329999923706055,17.329999923706055,535900,,,14.780394453735537,2.976799964904785,25.209999084472656,8.550999641418457,-0.020904001315531717,-2.37504937060512,-2.204070974181737,IREN
2022-03-18,17.299999237060547,17.299999237060547,13.170000076293945,13.170000076293945,13.170000076293945,774600,,,14.422529036526294,2.914299964904785,19.916000366210938,8.550999641418457,-0.23251747124694144,-2.284053613665782,-2.22184489406708,IREN
2022-03-25,13.800000190734863,15.039999961853027,12.970000267028809,14.390000343322754,14.390000343322754,899700,,,14.415300438036617,2.9304999351501464,18.5,8.550999641418457,-0.11008037876145482,-2.1814075083432027,-2.2128588083506626,IREN
2022-04-01,14.649999618530273,16.040000915527344,13.34000015258789,15.800000190734863,15.800000190734863,856500,15.030499982833863,,14.723011494191782,2.8248000144958496,18.5,11.520000457763672,0.31776484506649716,-2.0422978037322848,-2.174956362879912,IREN
2022-04-08,15.880000114440918,16.09000015258789,13.520000457763672,13.670000076293945,13.670000076293945,302400,14.474000024795533,-0.5564999580383301,14.48900895688115,2.7761999130249024,18.5,12.579999923706055,0.10777957109077785,-1.9234573503625785,-2.1190676934316155,IREN
2022-04-15,13.65999984741211,13.8100004196167,12.265000343322754,12.34000015258789,12.34000015258789,255500,14.14150004386902,-0.33249998092651367,14.01145144481598,2.599699878692627,17.969999313354492,12.579999923706055,0.28810023495429427,-1.84606403570039,-2.0584002139357875,IREN
2022-04-22,12.359999656677246,12.850000381469727,10.449999809265137,10.670000076293945,10.670000076293945,620300,13.903500032424926,-0.23800001144409322,13.268906696255529,2.5941999435424803,17.969999313354492,12.265000343322754,-0.02999999306418677,-1.829761307803568,-2.0075915681286274,IREN
2022-04-29,10.65999984741211,11.329999923706055,8.609999656677246,8.6899995803833,8.6899995803833,413200,13.618000030517578,-0.2855000019073479,12.251371781617255,2.6871999740600585,17.969999313354492,10.449999809265137,-0.3391635108385995,-1.8916950735001103,-1.9818367915445125,IREN
2022-05-06,8.859999656677246,10.25,8.609999656677246,9.489999771118164,9.489999771118164,478800,13.207499980926514,-0.41050004959106445,11.637733557061901,2.6194000244140625,17.969999313354492,8.609999656677246,-0.35791610672712715,-1.9795294701037913,-1.9813240534465746,IREN
2022-05-13,9.170000076293945,9.265000343322754,5.539999961853027,7.710000038146973,7.710000038146973,1122600,12.734999990463256,-0.4724999904632572,10.764903886191917,2.8164000511169434,17.969999313354492,8.609999656677246,-0.43057606647941127,-2.11504863766393,-2.011040627717098,IREN
2022-05-20,5.599999904632568,6.880000114440918,4.559999942779541,6.25,6.25,4654200,12.23899998664856,-0.49600000381469656,9.761591911482602,2.6905001163482667,17.969999313354492,5.539999961853027,-0.5680718808111438,-2.3041779427738107,-2.076182253285256,IREN
2022-05-27,6.190000057220459,6.5,5.0,5.769999980926514,5.769999980926514,1309400,11.927999997138977,-0.3109999895095825,8.874571482470138,2.4245001316070556,17.969999313354492,4.559999942779541,-0.5998613071845802,-2.5269792348330933,-2.1763593602958866,IREN
2022-06-03,5.900000095367432,6.480000019073486,5.335000038146973,5.400000095367432,5.400000095367432,567400,11.580999994277954,-0.34700000286102295,8.102444507558426,2.332000160217285,17.969999313354492,4.559999942779541,-0.6884016088205134,-2.7671521840336055,-2.307646654459824,IREN
2022-06-10,5.590000152587891,5.659999847412109,4.710000038146973,4.820000171661377,4.820000171661377,745500,11.34300000667572,-0.23799998760223495,7.373012432914637,2.1570000648498535,17.969999313354492,4.559999942779541,-0.6340166937176107,-3.0191163817857247,-2.4657510383100245,IREN
2022-06-17,4.690000057220459,4.739999771118164,3.430000066757202,3.740000009536743,3.740000009536743,1778700,10.980000007152558,-0.3629999995231614,6.565676338830661,2.0390001058578493,17.969999313354492,4.559999942779541,-0.7400972953227081,-3.2923382738743734,-2.6494370906576576,IREN
2022-06-24,3.5799999237060547,3.9000000953674316,2.890000104904175,3.049999952316284,3.049999952316284,1931000,10.475000023841858,-0.5049999833107002,5.784414919605244,1.9855000972747803,17.969999313354492,3.430000066757202,-0.8069620306647334,-3.5840164691189558,-2.8571213969823903,IREN
2022-07-01,3.0999999046325684,3.6489999294281006,3.0,3.5999999046325684,3.5999999046325684,1646000,9.916000032424927,-0.5589999914169308,5.298989360722428,1.8104000329971313,17.299999237060547,2.890000104904175,-0.7366496061053016,-3.8595583846474324,-3.0798851720190665,IREN
2022-07-08,3.549999952316284,3.8499999046325684,3.0999999046325684,3.819999933242798,3.819999933242798,926100,9.430000030994416,-0.4860000014305115,4.970325043504732,1.6134000062942504,16.09000015258789,2.890000104904175,-0.6904376105342523,-4.10456475913602,-3.3075917469339453,IREN
2022-07-15,3.8499999046325684,3.859999895095825,3.059999942779541,3.25,3.25,955500,8.869000017642975,-0.5610000133514408,4.588030589392569,1.5293999671936036,16.09000015258789,2.890000104904175,-0.6954076872763402,-4.332774081246238,-3.535410043447788,IREN
2022-07-22,3.3399999141693115,4.679999828338623,3.0999999046325684,3.7699999809265137,3.7699999809265137,2122100,8.336500012874604,-0.5325000047683712,4.4062460097334455,1.2923999786376954,16.09000015258789,2.890000104904175,-0.566167990452282,-4.521688629504938,-3.7545830625715997,IREN
2022-07-29,3.890000104904175,4.179999828338623,3.2100000381469727,3.9700000286102295,3.9700000286102295,1153100,7.668500018119812,-0.6679999947547914,4.309302458372731,1.0743999481201172,13.8100004196167,2.890000104904175,-0.5816648973277623,-4.665477471483815,-3.95700404232987,IREN
2022-08-05,3.869999885559082,4.820000171661377,3.8399999141693115,4.739999771118164,4.739999771118164,762100,7.247000002861023,-0.4215000152587889,4.40501297231616,1.0223999738693237,12.850000381469727,2.890000104904175,-0.3852140405102541,-4.740996556484434,-4.131224601030884,IREN
2022-08-12,4.769999980926514,6.940000057220459,4.769999980926514,5.949999809265137,5.949999809265137,1956400,6.824999976158142,-0.4220000267028814,4.748343380527044,1.1279000043869019,11.329999923706055,2.890000104904175,-0.048000030517578174,-4.715423475259872,-4.26104657308177,IREN
