Date,Open,High,Low,Close,Adj Close,Volume,SMA30,SMA30_Slope,EMA10,ATR,HH20,LL10,ROC12,TRIX,TRIX_SIGNAL,Symbol
2018-04-27,1210.0,1248.0,1133.0,1233.0,1011.7275390625,155244,,,1233.0,,,,,,,SMSN.IL
2018-05-04,1228.0,1243.0,1197.0,1215.0,996.9578857421875,85874,,,1229.0,,,,,-0.005315808883377127,-0.005315808883377127,SMSN.IL
2018-05-11,1210.0,1213.0,1175.0,1202.0,986.290771484375,60623,,,1223.0,,,,,-0.017334093148191343,-0.007986538720002507,SMSN.IL
2018-05-18,1177.0,1180.0,1129.0,1148.0,941.9817504882812,87893,,,1206.3333333333335,,,,,-0.048540030146915214,-0.016998425703760887,SMSN.IL
2018-05-25,1144.0,1218.0,1144.0,1215.0,996.9578857421875,124265,,,1208.2592592592594,,,,,-0.0694419314936856,-0.028652538101521935,SMSN.IL
2018-06-01,1189.0,1196.0,1132.0,1192.0,978.0851440429688,99402,,,1204.6460905349795,,,,,-0.08933216397081223,-0.04213689940580867,SMSN.IL
2018-06-08,1195.0,1198.0,1140.0,1145.0,939.52001953125,63051,,,1191.3914037494285,,,,,-0.12095557830780201,-0.059652161384029415,SMSN.IL
2018-06-15,1156.0,1170.0,1085.0,1089.0,893.5693969726562,121744,,,1168.6377584717777,,,,,-0.17391350589875954,-0.08504357127619167,SMSN.IL
2018-06-22,1057.0,1085.0,1049.0,1056.0,866.4918212890625,135066,,,1143.6071454780495,,,1085.0,,-0.24579526630490456,-0.1207661701714612,SMSN.IL
2018-06-29,1045.0,1074.0,969.0,1045.0,863.831787109375,142295,,,1121.6944464829273,71.9,,1049.0,,-0.3273019300725766,-0.1666630057050424,SMSN.IL
2018-07-06,1018.0,1039.0,991.5,1009.0,834.0729370117188,105540,,,1096.651236153388,65.75,,969.0,,-0.4194835795712559,-0.2228453554530898,SMSN.IL
2018-07-13,1022.0,1041.0,1000.0,1018.0,841.5126953125,66458,,,1079.1731836748575,65.25,,969.0,,-0.5087261094208206,-0.28637441189036333,SMSN.IL
2018-07-20,1016.0,1054.0,1014.0,1051.0,868.7913818359375,79062,,,1072.912476191556,65.25,,969.0,-0.14760746147607462,-0.579395062169985,-0.35149011195250146,SMSN.IL
2018-07-27,1030.0,1052.0,1013.0,1044.0,863.0050048828125,75987,,,1066.4874814823213,61.85,,969.0,-0.14074074074074072,-0.6347742853814231,-0.4144421504922618,SMSN.IL
2018-08-03,1035.0,1043.0,1005.0,1027.0,848.952392578125,78340,,,1057.7124855973611,58.35,,969.0,-0.14559068219633942,-0.6806527092170334,-0.4736000524310999,SMSN.IL
2018-08-10,1023.0,1055.0,998.5,1001.0,827.4599609375,71272,,,1045.1097110201697,55.7,1248.0,969.0,-0.12804878048780488,-0.7238227654227769,-0.5292050997625837,SMSN.IL
2018-08-17,982.0,1009.0,966.5,972.0,803.4874877929688,106221,,,1028.8631085712432,54.15,1243.0,969.0,-0.19999999999999996,-0.7695328462911544,-0.5826112656578216,SMSN.IL
2018-08-24,978.0,1033.0,965.5,1029.0,850.6056518554688,77904,,,1028.8935288887446,52.4,1218.0,966.5,-0.13674496644295298,-0.7940591329591795,-0.6295996806136789,SMSN.IL
2018-08-31,1050.0,1084.0,1044.0,1068.0,882.8443603515625,77984,,,1037.583855802357,53.9,1218.0,965.5,-0.06724890829694319,-0.7892083502239355,-0.6650682738604026,SMSN.IL
2018-09-07,1065.0,1068.0,986.5,1003.0,829.1132202148438,90132,1088.1,,1029.8985545129442,51.55,1218.0,965.5,-0.07897153351698805,-0.784338959535491,-0.6915728706770888,SMSN.IL
2018-09-14,1003.0,1025.0,972.0,1011.0,835.7261352539062,96036,1077.0,-11.099999999999909,1025.69887573229,51.5,1198.0,965.5,-0.042613636363636354,-0.7746773895966452,-0.7100405415481014,SMSN.IL
2018-09-21,1000.0,1065.0,992.0,1046.0,864.6583862304688,138030,1068.55,-8.450000000000045,1030.2102366806698,54.7,1198.0,965.5,0.000956937799043045,-0.7488278683115523,-0.718659947495535,SMSN.IL
2018-09-28,1042.0,1072.0,1036.0,1047.0,871.8916015625,76204,1060.8,-7.75,1033.9412951960765,54.3,1170.0,965.5,0.037661050545094055,-0.7116032981516196,-0.717091803196887,SMSN.IL
2018-10-05,1045.0,1047.0,978.0,987.0,821.926513671875,104908,1052.75,-8.049999999999955,1023.509896263615,57.3,1085.0,965.5,-0.03045186640471509,-0.6867056058592835,-0.7103393148996419,SMSN.IL
2018-10-12,988.0,1000.0,932.0,970.0,807.7697143554688,146553,1040.5,-12.25,1011.6188082050339,60.2,1084.0,965.5,-0.07706945765937201,-0.6742875902433831,-0.7023278205315844,SMSN.IL
2018-10-19,961.0,984.5,956.5,964.0,802.773193359375,86313,1029.1,-11.400000000000091,1001.0368508261374,57.35,1084.0,932.0,-0.07662835249042144,-0.6701507925711336,-0.6951773698737064,SMSN.IL
2018-10-26,964.5,965.5,879.5,903.5,752.3916015625,122276,1017.025,-12.074999999999932,979.3619950869959,61.7,1084.0,932.0,-0.120253164556962,-0.6893901246363132,-0.6938913153765079,SMSN.IL
2018-11-02,906.0,1003.0,901.5,979.0,815.2645874023438,117191,1011.525,-5.5,979.2815517343302,65.1,1084.0,879.5,-0.02197802197802201,-0.6945176892408145,-0.6940305095685761,SMSN.IL
2018-11-09,974.5,997.0,961.5,966.5,804.8552856445312,101177,1007.05,-4.475000000000023,976.441206904479,63.15,1084.0,879.5,-0.005658436213991758,-0.6925422431337314,-0.6936997836941662,SMSN.IL
2018-11-16,989.0,999.5,955.5,983.5,819.0117797851562,102759,1003.975,-3.074999999999932,978.0098275923726,59.4,1084.0,879.5,-0.04421768707482998,-0.6782272923352761,-0.6902614522810795,SMSN.IL
2018-11-23,968.0,976.5,922.5,939.5,782.3709106445312,79778,1000.5,-3.4750000000000227,969.4520881274009,60.2,1084.0,879.5,-0.12031835205992514,-0.6699192149476008,-0.685740955095862,SMSN.IL
2018-11-30,948.0,969.5,931.0,935.0,778.6234130859375,65468,996.35,-4.149999999999977,961.7960685435339,56.75,1084.0,879.5,-0.06779661016949157,-0.6652014327885425,-0.6811766168053466,SMSN.IL
2018-12-07,968.5,978.0,890.0,910.5,758.2208862304688,127727,989.325,-7.024999999999977,950.3969422005264,61.95,1084.0,879.5,-0.09940652818991103,-0.6693312313388211,-0.6785443089238965,SMSN.IL
2018-12-14,891.0,907.0,859.5,870.0,724.4945068359375,107092,980.625,-8.700000000000045,932.530955044854,60.15,1084.0,879.5,-0.16826003824091773,-0.690711950771683,-0.6812482293345157,SMSN.IL
2018-12-21,860.5,868.0,847.5,851.0,708.6721801757812,131603,971.825,-8.799999999999955,914.4129650348864,55.6,1072.0,859.5,-0.1872015281757402,-0.7260677915263303,-0.6912081320438077,SMSN.IL
2018-12-28,840.0,878.5,840.0,871.0,731.9610595703125,21532,965.325,-6.5,904.7656394715783,56.65,1072.0,847.5,-0.11752786220871325,-0.758715115750741,-0.7062096839786818,SMSN.IL
2019-01-04,870.5,882.0,832.0,853.5,717.2547607421875,50317,959.4,-5.925000000000068,893.3732751445609,53.05,1072.0,840.0,-0.12010309278350517,-0.7916760418940849,-0.7252022079598825,SMSN.IL
2019-01-11,866.0,907.0,834.5,905.0,760.5336303710938,144730,953.2,-6.199999999999932,895.956991779103,50.15,1072.0,832.0,-0.06120331950207469,-0.8019379173012764,-0.7422545878135256,SMSN.IL
2019-01-18,892.0,958.5,889.0,950.0,798.3502197265625,70657,947.3,-5.900000000000091,907.9665491615245,53.55,1047.0,832.0,0.051466519092418395,-0.7785519457908618,-0.7503206673640448,SMSN.IL
2019-01-25,950.0,1004.0,925.0,994.5,835.7467041015625,94614,946.875,-0.4249999999999545,927.196204903408,57.05,1003.0,832.0,0.015832482124616964,-0.7166710133687637,-0.7428429664762045,SMSN.IL
2019-02-01,1005.0,1038.0,986.5,1029.0,864.7394409179688,125315,947.775,0.8999999999999773,949.8192704804284,56.1,1004.0,832.0,0.06466632177961729,-0.6192659947823032,-0.7153814172108931,SMSN.IL
2019-02-08,1028.0,1052.0,980.5,986.5,829.0235595703125,81236,944.8,-2.9750000000000227,957.9705437069998,59.4,1038.0,832.0,0.0030503304524656105,-0.5191902344775845,-0.6717833766034912,SMSN.IL
2019-02-15,993.0,1050.0,992.0,1024.0,860.5376586914062,81704,943.65,-1.1499999999999773,972.6437562165554,56.95,1052.0,832.0,0.08994145822245869,-0.40776452640326477,-0.6131125210034408,SMSN.IL
2019-02-22,1026.0,1053.0,1011.0,1047.0,879.865966796875,62291,946.65,3.0,989.1673659462098,56.05,1052.0,832.0,0.11978609625668457,-0.28615929860350553,-0.5404562493590107,SMSN.IL
2019-03-01,1058.0,1063.0,994.5,999.5,839.9485473632812,69199,948.125,1.4750000000000227,991.463506847052,60.65,1053.0,832.0,0.0977484898407468,-0.18274624247264226,-0.4609651367175955,SMSN.IL
2019-03-08,992.0,1001.0,948.0,960.0,806.75390625,71705,947.925,-0.20000000000004547,984.4716164365959,62.1,1063.0,834.5,0.10344827586206895,-0.11126867789515993,-0.383254812534832,SMSN.IL
