Date,Open,High,Low,Close,Adj Close,Volume,SMA30,SMA30_Slope,EMA10,ATR,HH20,LL10,ROC12,TRIX,TRIX_SIGNAL,Symbol
2021-04-23,114.5,118.72000122070312,113.7699966430664,118.63999938964844,109.19947052001953,24264300,,,118.63999938964844,,,,,,,TSM
2021-04-30,120.0,121.6500015258789,116.6500015258789,116.73999786376953,107.45066833496094,37194800,,,118.21777682834201,,,,,-0.005831533086264606,-0.005831533086264606,TSM
2021-05-07,117.47000122070312,119.41999816894531,113.73999786376953,116.83000183105469,107.53352355957031,45122800,,,117.90938238450038,,,,,-0.014527727169688642,-0.007764020660358836,TSM
2021-05-14,114.9800033569336,115.37999725341797,107.9000015258789,112.45999908447266,103.51123809814453,56325000,,,116.69840831782754,,,,,-0.03777042032330202,-0.01443210947434621,TSM
2021-05-21,109.06999969482422,114.0,107.87000274658203,111.8499984741211,102.94978332519531,37867600,,,115.620983908115,,,,,-0.07010240201735796,-0.026803285595015484,TSM
2021-05-28,112.26000213623047,117.83999633789062,112.12000274658203,117.36000061035156,108.0213394165039,30490600,,,116.00743206416757,,,,,-0.08874023309071166,-0.04056705170517019,TSM
2021-06-04,119.70999908447266,120.04000091552734,116.45999908447266,119.51000213623047,110.000244140625,23243800,,,116.78578096907043,,,,,-0.09096348017076927,-0.05176625803085888,TSM
2021-06-11,118.13999938964844,118.8499984741211,115.05999755859375,118.25,108.84051513671875,38835600,,,117.11116297594366,,,,,-0.08662211588451596,-0.05951200422056045,TSM
2021-06-18,118.55000305175781,122.0,115.20999908447266,115.79000091552734,106.9850845336914,44007500,,,116.81757140696226,,,107.87000274658203,,-0.08583175249213815,-0.06536083716979994,TSM
2021-06-25,115.37999725341797,117.93000030517578,112.01000213623047,116.52999877929688,107.66883850097656,45307300,,,116.75366637859217,5.742000579833984,,107.87000274658203,,-0.08465965047793622,-0.06964946234938578,TSM
2021-07-02,117.29000091552734,120.76000213623047,117.18000030517578,118.91000366210938,109.86785125732422,40277800,,,117.232852441596,5.670000457763672,,107.87000274658203,,-0.07567904778089662,-0.07098937022305485,TSM
2021-07-09,119.8499984741211,121.05000305175781,115.37999725341797,120.55999755859375,111.39237976074219,30512900,,,117.97221802315104,5.737001037597656,,107.87000274658203,,-0.05714958111815438,-0.06791386153307696,TSM
2021-07-16,121.19000244140625,125.77999877929688,115.16999816894531,115.73999786376953,106.93888854980469,70561100,,,117.47616909884404,6.230001068115234,,107.87000274658203,-0.024443708199579972,-0.04868366162434912,-0.06364048377558189,TSM
2021-07-23,114.0,118.08999633789062,113.2300033569336,116.79000091552734,107.90904998779297,33423300,,,117.32368728032921,5.82300033569336,,112.01000213623047,0.0004283283593697895,-0.04344334826624774,-0.0591522314401743,TSM
2021-07-30,115.79000091552734,117.41999816894531,112.05000305175781,116.63999938964844,107.77045440673828,38032400,,,117.17175663795571,5.747000122070313,,112.01000213623047,-0.0016263154877033115,-0.040800233103022165,-0.05507400958747383,TSM
2021-08-06,117.5,119.55000305175781,116.66000366210938,118.20999908447266,109.22106170654297,24947900,,,117.40247718162614,5.4390007019042965,125.77999877929688,112.01000213623047,0.05112929083060869,-0.034894385115435966,-0.050589648593687635,TSM
2021-08-13,118.41999816894531,119.05000305175781,114.08000183105469,115.5,106.71715545654297,24835000,,,116.9797044745981,5.57800064086914,125.77999877929688,112.01000213623047,0.03263300469980268,-0.03564703515399614,-0.04726906782931174,TSM
2021-08-20,115.0999984741211,115.4800033569336,107.68000030517578,108.12000274658203,99.8983383178711,53190900,,,115.01088186837231,5.915000152587891,125.77999877929688,112.01000213623047,-0.07873208772763529,-0.06311875630138353,-0.05079122082310547,TSM
2021-08-27,110.08000183105469,119.30000305175781,109.2699966430664,118.48999786376953,109.47978210449219,55079900,,,115.78401875623837,6.354000091552734,125.77999877929688,107.68000030517578,-0.008534886237373085,-0.07271454901017771,-0.05566307153134375,TSM
2021-09-03,118.87999725341797,124.4800033569336,118.47000122070312,123.97000122070312,114.54307556152344,40690800,116.84449996948243,,117.60312597056387,6.36300048828125,125.77999877929688,107.68000030517578,0.04837210334632669,-0.05359665168799266,-0.05520386712171017,TSM
2021-09-10,124.62000274658203,125.27999877929688,121.2300033569336,122.97000122070312,113.61911010742188,27988400,117.06100006103516,0.21650009155273153,118.79576491503926,6.344999694824219,125.77999877929688,107.68000030517578,0.062008811196174296,-0.021157259598125755,-0.04763795433869141,TSM
2021-09-17,122.94000244140625,124.0999984741211,117.69000244140625,117.75,109.242919921875,35323900,117.11150016784669,0.05050010681152628,118.56337271169721,6.418998718261719,125.77999877929688,107.68000030517578,0.010469417604764164,0.001171690226886568,-0.03679136665745186,TSM
2021-09-24,115.19999694824219,116.97000122070312,113.55000305175781,115.63999938964844,107.28536224365234,32459400,117.05200004577637,-0.059500122070318184,117.91373419568637,5.777998352050782,125.77999877929688,107.68000030517578,-0.02749982484024527,0.009385046055143675,-0.026529941610208413,TSM
2021-10-01,115.69999694824219,116.56999969482422,110.30000305175781,111.55999755859375,103.5001220703125,33262100,117.00699996948242,-0.04500007629394531,116.5017927207769,5.918998718261719,125.77999877929688,107.68000030517578,-0.0746516272582527,-0.004175253351268449,-0.021562233108221755,TSM
2021-10-08,111.0,111.70999908447266,107.58000183105469,110.04000091552734,102.08993530273438,37073000,116.91650009155273,-0.0904998779296875,115.06583898627702,5.7949989318847654,125.77999877929688,107.68000030517578,-0.04924828973084405,-0.034763822391770116,-0.024495919615676945,TSM
2021-10-15,110.08000183105469,114.94999694824219,108.55999755859375,114.86000061035156,106.56169891357422,50947500,116.79150009155273,-0.125,115.02009712496024,6.142998504638672,125.77999877929688,107.58000183105469,-0.016525389931041468,-0.058654903629073996,-0.0320868049519874,TSM
2021-10-22,113.41999816894531,117.1500015258789,113.41999816894531,114.2300033569336,105.97722625732422,31309000,116.52750015258789,-0.26399993896484375,114.84452073206543,6.018998718261718,125.77999877929688,107.58000183105469,-0.02066183166431601,-0.07872945559952438,-0.04245183842921784,TSM
2021-10-29,114.4000015258789,116.0199966430664,113.11000061035156,113.69999694824219,105.48552703857422,29747700,116.3,-0.22750015258789347,114.59018211343805,5.527998352050782,125.77999877929688,107.58000183105469,-0.03815245893883845,-0.09659409176886458,-0.05448345028247267,TSM
2021-11-05,113.58000183105469,119.52999877929688,112.41000366210938,117.80000305175781,109.28931427001953,38859300,116.40050010681152,0.10050010681152344,115.30347565528689,5.121997833251953,125.27999877929688,107.58000183105469,0.019913446335565466,-0.09889522243684556,-0.06435273298344443,TSM
