Symbol,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,PnL,ReturnPct
1378.HK,2021-09-10,2021-09-24,13.380000114440918,10.739999771118164,602,-1589.2802066802979,-0.19730944101214354
RKLB,2021-09-10,2021-09-24,18.690000534057617,14.050000190734863,515,-2389.6001768112183,-0.2482611134690752
ELG.DE,2021-09-24,2021-10-01,43.54999923706055,43.5,198,-9.899848937988281,-0.0011480881271289656
SQZ.L,2021-09-17,2021-10-01,187.8000030517578,227.5,64,2540.7998046875,0.21139508148623842
RR.L,2021-09-24,2021-10-01,132.5,142.8800048828125,65,674.7003173828125,0.07833965949292443
5803.T,2021-09-17,2021-10-01,117.66666412353516,106.83333587646484,95,-1029.1661834716797,-0.09206794743238988
PLTR,2021-09-17,2021-10-01,28.709999084472656,24.329999923706055,279,-1222.0197658538818,-0.15256005922812632
1508.HK,2021-10-08,2021-10-22,0.9100000262260437,0.8500000238418579,19221,-1153.260045826435,-0.06593406665384183
NOC,2021-10-22,2021-10-29,406.2099914550781,357.2200012207031,21,-1028.789794921875,-0.12060262244877029
GD,2021-10-15,2021-11-05,208.05999755859375,201.0,89,-628.3397827148438,-0.03393250812956261
VWS.CO,2021-10-22,2021-11-05,274.29998779296875,210.0,13,-835.8998413085938,-0.2344148401548597
MAU.PA,2021-10-08,2021-11-19,2.440000057220459,2.365000009536743,6421,-481.5753061771393,-0.030737723739708622
UEC,2021-10-22,2021-11-26,3.9200000762939453,4.139999866485596,656,144.31986236572266,0.056122394364757966
APP,2021-10-15,2021-11-26,91.83999633789062,90.70999908447266,65,-73.44982147216797,-0.012303977553097534
VBK.DE,2021-10-15,2021-11-26,61.25,63.25,113,226.0,0.03265306122448974
AMD,2021-11-05,2021-12-17,136.33999633789062,137.75,37,52.170135498046875,0.010341819715287137
1347.HK,2021-12-03,2021-12-17,49.650001525878906,41.5,138,-1124.700210571289,-0.16414906899108372
ANET,2021-11-05,2022-01-07,33.158748626708984,32.369998931884766,222,-175.10243225097656,-0.023787076638618676
AVGO,2021-10-29,2022-01-14,53.16699981689453,59.637001037597656,121,782.8701477050781,0.12169205038812803
ESE.PA,2021-10-15,2022-01-14,18.52359962463379,19.56730079650879,950,991.51611328125,0.05634440351901282
ELG.DE,2021-12-17,2022-01-21,59.099998474121094,55.900001525878906,129,-412.7996063232422,-0.05414546583522184
AMAT,2022-01-14,2022-01-21,167.0,135.05999755859375,41,-1309.5401000976562,-0.19125749964913918
WDC,2021-12-31,2022-01-21,49.289493560791016,43.696144104003906,92,-514.5881500244141,-0.11347954812902616
TSM,2022-01-14,2022-01-21,140.66000366210938,124.52999877929688,67,-1080.7103271484375,-0.11467371294515016
AYV.PA,2022-01-07,2022-01-21,13.06458854675293,12.754396438598633,617,-191.38853073120117,-0.02374296802721676
MRN.PA,2021-12-31,2022-01-21,35.36206817626953,34.40374755859375,245,-234.7885513305664,-0.02710024235287467
MU,2021-12-24,2022-01-21,94.41999816894531,81.93000030517578,88,-1099.1198120117188,-0.13228127627604092
TRE.MC,2022-03-25,2022-04-01,7.880133152008057,7.128771781921387,738,-554.5046911239624,-0.09534881652287874
SQZ.L,2022-03-25,2022-04-08,395.5,415.0,21,409.5,0.04930467762326174
MAU.PA,2022-03-25,2022-04-08,4.054999828338623,4.78000020980835,2433,1763.9259281158447,0.1787917169325175
CCJ,2022-03-25,2022-04-08,28.760000228881836,30.309999465942383,243,376.6498146057129,0.05389427067889874
TGB,2022-04-01,2022-04-08,2.359999895095825,2.2100000381469727,2460,-368.99964809417725,-0.06355926424427316
NEM,2022-04-01,2022-04-08,82.77999877929688,82.12000274658203,106,-69.95957946777344,-0.00797289251567257
VIRI.PA,2022-04-01,2022-04-08,104.6500015258789,100.75,58,-226.20008850097656,-0.03726709478274093
WMT,2022-04-01,2022-04-08,50.336666107177734,52.470001220703125,218,465.06705474853516,0.042381335088483185
CDA.PA,2022-07-29,2022-08-26,17.139999389648438,16.280000686645508,732,-629.5190505981445,-0.05017495528747329
SQZ.L,2022-08-19,2022-09-02,415.0,365.5,9,-445.5,-0.11927710843373496
1385.HK,2022-08-05,2022-09-02,34.400001525878906,37.95000076293945,192,681.599853515625,0.10319764766259976
5803.T,2022-08-12,2022-09-02,153.0,161.3333282470703,54,449.9997253417969,0.0544661976932701
ALB,2022-08-12,2022-09-02,281.57000732421875,259.8800048828125,24,-520.56005859375,-0.07703236096602761
NESTE.HE,2022-07-29,2022-09-02,50.08000183105469,48.970001220703125,242,-268.6201477050781,-0.02216454811835189
ESE.PA,2022-08-12,2022-09-02,20.10300064086914,19.459299087524414,581,-373.99060249328613,-0.03202017275152891
CCJ,2022-09-09,2022-09-16,30.209999084472656,27.950000762939453,332,-750.3194427490234,-0.07480961238078276
ALB,2022-09-09,2022-09-16,300.3699951171875,287.32000732421875,30,-391.4996337890625,-0.043446376153108646
GD,2022-10-28,2022-11-04,250.72000122070312,249.36000061035156,66,-89.76004028320312,-0.005424380199944179
VBK.DE,2022-10-28,2022-11-04,78.9000015258789,78.8499984741211,118,-5.900360107421875,-0.0006337522280200902
ALB,2022-11-11,2022-11-18,325.3800048828125,276.9800109863281,19,-919.5998840332031,-0.14874913384402932
VBK.DE,2022-11-11,2022-11-25,84.4000015258789,75.5,87,-774.3001327514648,-0.1054502531395094
ANGPY,2022-11-11,2022-12-16,16.3700008392334,12.864999771118164,540,-1892.7005767822266,-0.21411123325754045
TRE.MC,2022-11-11,2022-12-16,8.475725173950195,8.22374439239502,1244,-313.4640922546387,-0.029729701752202686
AU,2022-11-11,2022-12-16,17.979999542236328,18.719999313354492,351,259.7399196624756,0.04115682925240627
MRN.PA,2022-11-25,2022-12-16,35.74539566040039,35.218318939208984,183,-96.45503997802734,-0.014745303876306348
KGH.WA,2022-11-11,2022-12-16,118.9000015258789,124.3499984741211,57,310.6498260498047,0.045836811423892065
SHA0.DE,2022-11-11,2022-12-16,6.514999866485596,6.21999979019165,977,-288.21507453918457,-0.04528013543200238
SAB.MC,2022-11-18,2022-12-16,0.8366000056266785,0.8813999891281128,6629,296.97909063100815,0.05355006359087411
MTZ,2022-11-11,2022-12-16,95.69000244140625,85.5,45,-458.55010986328125,-0.10648972914015631
0966.HK,2023-01-06,2023-02-03,10.479999542236328,9.829999923706055,835,-542.7496814727783,-0.062022867072718424
